"GlobalLogic Croatia","GlobalLogic"
"GlobalLogic India","GlobalLogic"
"GlobalLogic Poland","GlobalLogic"
"GlobalLogic Slovakia","GlobalLogic"
"GlobalLogic Ukraine","GlobalLogic"
"GLS General Logistics Systems Hungary","GLS General Logistics Systems"
"GLS General Logistics Systems Romania","GLS General Logistics Systems"
"Google Asia Pacific","Google"
"Google Cloud EMEA","Google Cloud"
"Google Ireland","Google"
"Google Kenya","Google"
"Google Singapore","Google"
"Google Switzerland","Google"
"GTECH POLSKA","GTECH"
"GTT - EMEA","GTT"
"GTT Communications HK","GTT Communications"
"GTT Communications Netherlands","GTT Communications"
"Guaranty Trust Bank (Ghana)","Guaranty Trust Bank"
"Guaranty Trust Bank (Kenya)","Guaranty Trust Bank"
"Guaranty Trust Bank (Uganda)","Guaranty Trust Bank"
"Guaranty Trust Bank Sierra Leone","Guaranty Trust Bank"
"Guidehouse India","Guidehouse"
"Guidewire Software (Ireland)","Guidewire Software"
"HCL AMERICA","HCL"
"HCL Technologies Germany","HCL Technologies"
"HCL Technologies Sweden","HCL Technologies"
"HCL Technologies UK","HCL Technologies"
"Herbalife International Luxembourg","Herbalife International"
"Herbalife International of America","Herbalife International"
"Hewlett Packard Europe","Hewlett Packard"
"Hewlett Packard France","Hewlett Packard"
"HGC Global Communications (Philippines)","HGC Global Communications"
"HGC Global Communications (Thailand)","HGC Global Communications"
"HGC Global Communications (UK)","HGC Global Communications"
"HGC Global Communications Malaysia","HGC Global Communications"
"HKBN Enterprise Solutions HK","HKBN Enterprise Solutions"
"HOCHTIEF POLSKA","HOCHTIEF"
"Holcim Australia","Holcim"
"Holcim Romania","Holcim"
"Home Credit Indonesia","Home Credit"
"Home Credit Philippines","Home Credit"
"Honeywell Romania","Honeywell"
"Hostgator Brasil","Hostgator"
"HSBC BANK Argentina","HSBC BANK"
"HSBC BANK AUSTRALIA","HSBC BANK"
"HSBC Bank USA","HSBC Bank"
"Huawei Technologies (Netherlands)","Huawei Technologies"
"I&M Bank (Uganda)","I&M Bank"
"iBasis (Hong Kong)","iBasis"
"iBasis IoT Europe","iBasis IoT"
"IBM Argentina","IBM"
"IBM Deutschland","IBM"
"IBM New Zealand","IBM"
"IBM Romania","IBM"
"IBM Singapore","IBM"
"IBM United Kingdom","IBM"
"Idemia Identity & Security France","Idemia Identity & Security"
"Idemia Identity & Security USA","Idemia Identity & Security"
"IGT Austria","IGT"
"Imperial Tobacco Canada","Imperial Tobacco"
"Imperial Tobacco Polska","Imperial Tobacco"
"Inetum Belgium","Inetum"
"Inetum Espana","Inetum"
"Inetum Polska","Inetum"
"Infineon Technologies Asia Pacific","Infineon Technologies"
"Infor (Deutschland)","Infor"
"ING Bank (Australia)","ING Bank"
"ING Bank of Canada","ING Bank"
"Inmarsat Solutions (Canada)","Inmarsat Solutions"
"Inmarsat Solutions US","Inmarsat Solutions"
"Instinet Europe","Instinet"
"Intel China","Intel"
"Interactive Brokers India","Interactive Brokers"
